DPA_PROVIN,DPA_DESPRO,Population_2001
90,ZONA NO DELIMITADA ,72588
02,BOLIVAR,169370
03,CAÑAR,206981
01,AZUAY,599546
06,CHIMBORAZO,403632
07,EL ORO,525763
04,CARCHI,152939
05,COTOPAXI,349540
08,ESMERALDAS,385223
09,GUAYAS,3309034
14,MORONA SANTIAGO,115412
20,GALAPAGOS,18640
21,SUCUMBIOS,128995
11,LOJA,404835
10,IMBABURA,344044
13,MANABI,1186025
12,LOS RIOS,650178
15,NAPO,79139
22,ORELLANA,86493
17,PICHINCHA,2388817
16,PASTAZA,61779
19,ZAMORA CHINCHIPE,76601
18,TUNGURAHUA,441034
